,fecha,cuentas_que_han_realizado_al_menos_un_pago,cuentas_que_han_realizado_al_menos_un_cobro
674,2022-02-18,821029.0,641959.0
675,2022-02-19,822075.0,642485.0
676,2022-02-20,822930.0,642887.0
677,2022-02-21,824020.0,643386.0
678,2022-02-22,825041.0,643880.0
679,2022-02-23,826051.0,644383.0
680,2022-02-24,827121.0,644928.0
681,2022-02-25,828373.0,645605.0
682,2022-02-26,829498.0,646199.0
683,2022-02-27,830383.0,646606.0
684,2022-02-28,831548.0,647117.0
685,2022-03-01,832711.0,647648.0
686,2022-03-02,833903.0,648242.0
687,2022-03-03,835026.0,648882.0
688,2022-03-04,836281.0,649537.0
689,2022-03-05,837367.0,650039.0
690,2022-03-06,838084.0,650436.0
691,2022-03-07,839129.0,650967.0
692,2022-03-08,840088.0,651440.0
693,2022-03-09,841054.0,651958.0
694,2022-03-10,842175.0,652525.0
695,2022-03-11,843389.0,653190.0
696,2022-03-12,844420.0,653737.0
697,2022-03-13,845258.0,654181.0
698,2022-03-14,846251.0,654726.0
699,2022-03-15,847491.0,655347.0
700,2022-03-16,848724.0,655986.0
701,2022-03-17,849866.0,656602.0
702,2022-03-18,851129.0,657278.0
703,2022-03-19,852087.0,657777.0
704,2022-03-20,852889.0,658194.0
705,2022-03-21,853722.0,658608.0
706,2022-03-22,854636.0,659025.0
707,2022-03-23,855707.0,659578.0
708,2022-03-24,856767.0,660123.0
709,2022-03-25,858026.0,660809.0
710,2022-03-26,858997.0,661317.0
711,2022-03-27,859755.0,661717.0
712,2022-03-28,860733.0,662242.0
713,2022-03-29,861805.0,662799.0
714,2022-03-30,863207.0,663467.0
715,2022-03-31,864593.0,664216.0
716,2022-04-01,865921.0,664861.0
